                                    BMI table.
           Find your BMI based on your height in inches and weight in pounds.
                Due to technical restrictions, divide your result by ten.


Weight(lbs): |120|  |130|  |140|  |150|  |160|  |170|  |180|  |190|  |200|  |210|  |220| 
------------------------------------------------------------------------------------------
|   65:     |1406| |2109| |2109| |2109| |2109| |2812| |2812| |2812| |2812| |2812| |3515| 
|   66:     |1406| |1406| |2109| |2109| |2109| |2109| |2812| |2812| |2812| |2812| |3515| 
|   67:     |1406| |1406| |2109| |2109| |2109| |2109| |2812| |2812| |2812| |2812| |2812| 
|   68:     |1406| |1406| |2109| |2109| |2109| |2109| |2109| |2812| |2812| |2812| |2812| 
|   69:     |1406| |1406| |1406| |2109| |2109| |2109| |2109| |2109| |2812| |2812| |2812| 
|   70:     |1406| |1406| |1406| |2109| |2109| |2109| |2109| |2109| |2812| |2812| |2812| 
|   71:     |1406| |1406| |1406| |1406| |2109| |2109| |2109| |2109| |2109| |2812| |2812| 
|   72:     |1406| |1406| |1406| |1406| |2109| |2109| |2109| |2109| |2109| |2812| |2812| 
|   73:     |1406| |1406| |1406| |1406| |2109| |2109| |2109| |2109| |2109| |2109| |2812| 
|   74:     |1406| |1406| |1406| |1406| |1406| |2109| |2109| |2109| |2109| |2109| |2812| 
|   75:     |1406| |1406| |1406| |1406| |1406| |2109| |2109| |2109| |2109| |2109| |2109| 
